Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,2032.8302002,2025-10-27,2025-11-01
2,Paris SG,FRA,1,1995.52319336,2025-10-26,2025-10-29
3,Liverpool,ENG,1,1974.4597168,2025-10-27,2025-11-01
4,Man City,ENG,1,1969.44152832,2025-10-27,2025-11-02
5,Bayern,GER,1,1967.81640625,2025-10-26,2025-11-01
6,Real Madrid,ESP,1,1953.27416992,2025-10-27,2025-11-01
7,Barcelona,ESP,1,1927.4230957,2025-10-27,2025-11-02
8,Inter,ITA,1,1923.57714844,2025-10-26,2025-10-29
9,Chelsea,ENG,1,1896.61535645,2025-10-26,2025-11-01
10,Newcastle,ENG,1,1884.92932129,2025-10-26,2025-11-02
11,Aston Villa,ENG,1,1873.8560791,2025-10-27,2025-11-01
12,Atletico,ESP,1,1851.25231934,2025-10-24,2025-10-27
13,Bournemouth,ENG,1,1847.41931152,2025-10-27,2025-11-02
14,Dortmund,GER,1,1845.06665039,2025-10-26,2025-10-31
15,Crystal Palace,ENG,1,1842.23095703,2025-10-27,2025-11-01
16,Brighton,ENG,1,1832.25964355,2025-10-26,2025-11-01
17,Tottenham,ENG,1,1829.71008301,2025-10-27,2025-11-01
18,Leverkusen,GER,1,1829.61669922,2025-10-27,2025-11-01
19,Napoli,ITA,1,1829.46264648,2025-10-27,2025-10-28
20,Man United,ENG,1,1828.62487793,2025-10-27,2025-11-01
21,Brentford,ENG,1,1821.59594727,2025-10-27,2025-11-01
22,Atalanta,ITA,1,1813.29907227,2025-10-26,2025-10-28
23,Roma,ITA,1,1802.03381348,2025-10-27,2025-10-29
24,Sporting,POR,1,1801.65808105,2025-10-27,2025-11-04
25,Milan,ITA,1,1794.72998047,2025-10-27,2025-10-28
26,Everton,ENG,1,1792.01953125,2025-10-27,2025-11-03
27,PSV,NED,1,1790.20141602,2025-10-27,2025-11-04
28,Lille,FRA,1,1788.70739746,2025-10-27,2025-10-29
29,Villarreal,ESP,1,1786.76660156,2025-10-27,2025-11-01
30,Benfica,POR,1,1785.95739746,2025-10-27,2025-11-05
31,Juventus,ITA,1,1783.10473633,2025-10-27,2025-10-29
32,Fulham,ENG,1,1775.25598145,2025-10-26,2025-11-01
33,Marseille,FRA,1,1773.83569336,2025-10-26,2025-10-29
34,Lyon,FRA,1,1758.71179199,2025-10-27,2025-10-29
35,RB Leipzig,GER,1,1757.27429199,2025-10-26,2025-11-06
36,Betis,ESP,1,1756.98291016,2025-10-26,2025-10-27
37,Lazio,ITA,1,1756.36096191,2025-10-27,2025-10-30
38,Forest,ENG,1,1753.9909668,2025-10-27,2025-11-01
39,Bologna,ITA,1,1747.55310059,2025-10-27,2025-10-29
40,Monaco,FRA,1,1747.3729248,2025-10-27,2025-10-29
41,Brugge,BEL,1,1743.54504395,2025-10-27,2025-11-05
42,Frankfurt,GER,1,1741.36071777,2025-10-26,2025-11-04
43,Bilbao,ESP,1,1741.16296387,2025-10-26,2025-11-01
44,Galatasaray,TUR,1,1740.86218262,2025-10-27,2025-11-05
45,Porto,POR,1,1740.56164551,2025-10-27,2025-10-27
46,Burnley,ENG,1,1734.79138184,2025-10-27,2025-11-01
47,Leeds,ENG,1,1732.7442627,2025-10-27,2025-11-01
48,Lens,FRA,1,1731.96179199,2025-10-27,2025-10-29
49,St Gillis,BEL,1,1724.45544434,2025-10-27,2025-11-04
50,Strasbourg,FRA,1,1719.12744141,2025-10-27,2025-10-29
51,Stuttgart,GER,1,1719.06347656,2025-10-27,2025-11-06
52,Fiorentina,ITA,1,1715.18640137,2025-10-27,2025-10-29
53,Feyenoord,NED,1,1712.5369873,2025-10-27,2025-11-06
54,West Ham,ENG,1,1710.3848877,2025-10-25,2025-11-02
55,Wolves,ENG,1,1690.02941895,2025-10-27,2025-11-01
56,Freiburg,GER,1,1683.5123291,2025-10-27,2025-11-06
57,Fenerbahce,TUR,1,1683.41247559,2025-10-27,2025-10-27
58,Celta,ESP,1,1680.38879395,2025-10-27,2025-11-02
59,Torino,ITA,1,1679.39282227,2025-10-27,2025-10-29
60,Slavia Praha,CZE,1,1679.31884766,2025-10-27,2025-11-04
61,Nice,FRA,1,1677.0559082,2025-10-27,2025-10-29
62,Werder,GER,1,1676.86328125,2025-10-27,2025-11-06
63,Como,ITA,1,1675.63049316,2025-10-27,2025-10-29
64,Osasuna,ESP,1,1675.30090332,2025-10-27,2025-11-06
65,Rayo Vallecano,ESP,1,1675.07849121,2025-10-27,2025-11-01
66,Olympiakos,GRE,1,1672.21838379,2025-10-27,2025-11-04
67,Braga,POR,1,1672.06799316,2025-10-27,2025-11-06
68,Toulouse,FRA,1,1668.95947266,2025-10-27,2025-10-29
69,Midtjylland,DEN,1,1667.74890137,2025-10-27,2025-11-06
70,Mainz,GER,1,1667.00891113,2025-10-27,2025-11-06
71,Espanyol,ESP,1,1665.47009277,2025-10-26,2025-11-02
72,Bodoe Glimt,NOR,1,1664.43737793,2025-10-27,2025-11-04
73,Brest,FRA,1,1662.82763672,2025-10-26,2025-10-29
74,Valencia,ESP,1,1658.65283203,2025-10-27,2025-11-01
75,Rennes,FRA,1,1651.00219727,2025-10-27,2025-10-29
76,Sociedad,ESP,1,1649.70776367,2025-10-27,2025-11-01
77,Sevilla,ESP,1,1647.88415527,2025-10-27,2025-11-01
78,Alaves,ESP,1,1643.55163574,2025-10-27,2025-11-02
79,Getafe,ESP,1,1643.31945801,2025-10-26,2025-10-31
80,Zenit,RUS,1,1640.33081055,2025-10-27,2025-11-06
81,Mallorca,ESP,1,1638.74243164,2025-10-27,2025-11-02
82,Hoffenheim,GER,1,1636.92163086,2025-10-26,2025-11-06
83,Sunderland,ENG,1,1634.45715332,2025-10-26,2025-11-03
84,FC Krasnodar,RUS,1,1631.63244629,2025-10-26,2025-11-06
85,Ajax,NED,1,1630.85876465,2025-10-27,2025-11-05
86,Wolfsburg,GER,1,1627.58850098,2025-10-27,2025-11-06
87,Coventry,ENG,2,1623.3737793,2025-10-26,2025-11-06
88,FC Kobenhavn,DEN,1,1622.66723633,2025-10-27,2025-11-04
89,Alkmaar,NED,1,1622.20324707,2025-10-27,2025-11-06
90,Genoa,ITA,1,1620.5078125,2025-10-27,2025-10-29
91,Union Berlin,GER,1,1619.30944824,2025-10-27,2025-11-06
92,Udinese,ITA,1,1616.96984863,2025-10-27,2025-10-29
93,Levante,ESP,1,1610.53515625,2025-10-27,2025-11-02
94,Genk,BEL,1,1609.86315918,2025-10-27,2025-11-06
95,Elche,ESP,1,1609.39501953,2025-10-26,2025-11-02
96,CSKA Moskva,RUS,1,1609.09484863,2025-10-26,2025-11-06
97,Auxerre,FRA,1,1604.18371582,2025-10-27,2025-10-29
98,Cagliari,ITA,1,1603.19506836,2025-10-27,2025-10-30
99,Sassuolo,ITA,1,1601.94165039,2025-10-27,2025-10-30
100,Augsburg,GER,1,1601.26635742,2025-10-26,2025-10-31
None,Leicester,ENG,2,1600.48156738,2025-10-26,2025-11-06
None,PAOK,GRE,1,1600.42614746,2025-10-27,2025-11-06
None,Gladbach,GER,1,1598.07873535,2025-10-26,2025-11-06
None,Sparta Praha,CZE,1,1597.0480957,2025-10-24,2025-10-28
None,Girona,ESP,1,1594.96936035,2025-10-26,2025-10-31
None,Nantes,FRA,1,1594.57104492,2025-10-25,2025-10-29
None,Parma,ITA,1,1589.62023926,2025-10-26,2025-10-29
None,Viktoria Plzen,CZE,1,1586.17480469,2025-10-27,2025-11-06
None,Celtic,SCO,1,1585.78588867,2025-10-27,2025-10-29
