season_end_year,date,home_team,away_team,home_goals,away_goals,home_xg,away_xg,b365h,b365d,b365a,bbavh,bbavd,bbava,psh,psd,psa,o_h,o_d,o_a,imp_h_raw,imp_d_raw,imp_a_raw,overround,p_home,p_draw,p_away
2018,2017-08-11,arsenal,leicester,4,3,2.5,1.5,1.53,4.5,6.5,NA,NA,NA,1.53,4.55,6.85,1.53,4.5,6.5,0.6535947712418301,0.2222222222222222,0.15384615384615385,1.029663147310206,0.6347656250000001,0.2158203125,0.14941406250000003
2018,2017-08-12,watford,liverpool,3,3,2.1,2.6,6,4.2,1.62,NA,NA,NA,5.74,4.29,1.63,6,4.2,1.62,0.16666666666666666,0.23809523809523808,0.6172839506172839,1.0220458553791887,0.1630716134598792,0.23295944779982744,0.6039689387402933
2018,2017-08-12,crystal palace,huddersfield,0,3,1.1,1.5,1.83,3.6,5,NA,NA,NA,1.83,3.58,5.11,1.83,3.6,5,0.5464480874316939,0.2777777777777778,0.2,1.0242258652094718,0.5335230304108126,0.27120754045882983,0.19526942913035747
2018,2017-08-12,west brom,bournemouth,1,0,1.3,0.5,2.4,3.3,3.3,NA,NA,NA,2.46,3.25,3.26,2.4,3.3,3.3,0.4166666666666667,0.30303030303030304,0.30303030303030304,1.0227272727272727,0.40740740740740744,0.29629629629629634,0.29629629629629634
2018,2017-08-12,chelsea,burnley,2,3,1.5,0.6,1.25,6.5,15,NA,NA,NA,1.26,6.3,15.25,1.25,6.5,15,0.8,0.15384615384615385,0.06666666666666667,1.0205128205128207,0.7839195979899497,0.1507537688442211,0.06532663316582914
2018,2017-08-12,everton,stoke,1,0,0.6,0.4,1.7,3.8,5.75,NA,NA,NA,1.7,3.83,5.81,1.7,3.8,5.75,0.5882352941176471,0.2631578947368421,0.17391304347826086,1.02530623233275,0.5737166863594592,0.2566627281081791,0.16962058553236184
2018,2017-08-12,southampton,swansea,0,0,2,0.3,1.62,4,6.5,NA,NA,NA,1.64,3.94,6.35,1.62,4,6.5,0.6172839506172839,0.25,0.15384615384615385,1.0211301044634378,0.6045105789351314,0.24482678446872821,0.15066263659614043
2018,2017-08-12,brighton,man city,0,2,0.3,1.9,11,5.5,1.33,NA,NA,NA,10.95,5.55,1.34,11,5.5,1.33,0.09090909090909091,0.18181818181818182,0.7518796992481203,1.024606971975393,0.08872581721147432,0.17745163442294865,0.733822548365577
2018,2017-08-13,newcastle,tottenham,0,2,0.8,2.5,5.5,4,1.7,NA,NA,NA,5.35,4,1.71,5.5,4,1.7,0.18181818181818182,0.25,0.5882352941176471,1.0200534759358288,0.1782437745740498,0.24508519003931847,0.5766710353866318
2018,2017-08-13,man united,west ham,4,0,2.1,0.5,1.3,5.75,12,NA,NA,NA,1.33,5.68,10.85,1.3,5.75,12,0.7692307692307692,0.17391304347826086,0.08333333333333333,1.0264771460423634,0.7493890849850665,0.1694270974748846,0.08118381754004887
2018,2017-08-19,swansea,man united,0,4,0.4,3,11,5,1.36,NA,NA,NA,12.01,5.33,1.33,11,5,1.36,0.09090909090909091,0.2,0.7352941176470588,1.0262032085561497,0.08858780614903597,0.19489317352787913,0.7165190203230849
2018,2017-08-19,bournemouth,watford,0,2,1,2.4,2,3.6,4,NA,NA,NA,1.98,3.63,4.16,2,3.6,4,0.5,0.2777777777777778,0.25,1.0277777777777777,0.4864864864864865,0.2702702702702703,0.24324324324324326
2018,2017-08-19,southampton,west ham,3,2,2.1,2,1.75,3.8,5.25,NA,NA,NA,1.71,3.96,5.43,1.75,3.8,5.25,0.5714285714285714,0.2631578947368421,0.19047619047619047,1.025062656641604,0.5574572127139364,0.2567237163814181,0.1858190709046455
2018,2017-08-19,leicester,brighton,2,0,2,0.2,1.73,3.8,5.5,NA,NA,NA,1.74,3.85,5.43,1.73,3.8,5.5,0.5780346820809249,0.2631578947368421,0.18181818181818182,1.023010758635949,0.5650328476033415,0.2572386385141528,0.1777285138825056
2018,2017-08-19,burnley,west brom,0,1,1.3,0.9,2.63,3.2,3,NA,NA,NA,2.64,3.17,3.07,2.63,3.2,3,0.3802281368821293,0.3125,0.3333333333333333,1.0260614702154627,0.3705705242028874,0.30456264957924806,0.32486682621786456
2018,2017-08-19,liverpool,crystal palace,1,0,2.5,0.7,1.36,5.25,9.5,NA,NA,NA,1.39,5.24,9.27,1.36,5.25,9.5,0.7352941176470588,0.19047619047619047,0.10526315789473684,1.031033466017986,0.7131622220633446,0.18474297562021877,0.1020948023164367
2018,2017-08-19,stoke,arsenal,1,0,0.7,1.5,4.5,3.8,1.85,NA,NA,NA,4.39,3.85,1.88,4.5,3.8,1.85,0.2222222222222222,0.2631578947368421,0.5405405405405405,1.0259206574996047,0.21660761053766756,0.25650901247881686,0.5268833769835156
2018,2017-08-20,huddersfield,newcastle,1,0,0.3,0.7,2.5,3.25,3.2,NA,NA,NA,2.51,3.31,3.13,2.5,3.25,3.2,0.4,0.3076923076923077,0.3125,1.0201923076923078,0.3920829406220546,0.3016022620169651,0.30631479736098016
2018,2017-08-20,tottenham,chelsea,1,2,0.7,0.7,2.1,3.6,3.75,NA,NA,NA,2.08,3.58,3.85,2.1,3.6,3.75,0.47619047619047616,0.2777777777777778,0.26666666666666666,1.0206349206349206,0.4665629860031104,0.2721617418351478,0.26127527216174184
2018,2017-08-21,man city,everton,1,1,1.1,0.6,1.33,5.75,10,NA,NA,NA,1.31,5.88,11.27,1.33,5.75,10,0.7518796992481203,0.17391304347826086,0.1,1.025792742726381,0.7329742821632302,0.1695401383090602,0.09748557952770963
2018,2017-08-26,bournemouth,man city,1,2,0.5,1.4,11,6,1.3,NA,NA,NA,11.14,5.79,1.32,11,6,1.3,0.09090909090909091,0.16666666666666666,0.7692307692307692,1.0268065268065267,0.08853575482406358,0.1623155505107832,0.7491486946651532
2018,2017-08-26,huddersfield,southampton,0,0,1.4,0.7,3.9,3.4,2.1,NA,NA,NA,4.01,3.45,2.08,3.9,3.4,2.1,0.25641025641025644,0.29411764705882354,0.47619047619047616,1.026718379659556,0.24973767051416584,0.28646379853095494,0.46379853095487933
2018,2017-08-26,watford,brighton,0,0,0.3,1.1,1.91,3.4,4,NA,NA,NA,1.99,3.37,4.5,1.91,3.4,4,0.5235602094240838,0.29411764705882354,0.25,1.0676778564829073,0.4903728275762602,0.2754741472560756,0.23415302516766426
